"ArtistId","name","title_album","track_name","TrackId","InvoiceId","InvoiceLineId","total_price","InvoiceDate"
1,AC/DC,For Those About To Rock We Salute You,For Those About To Rock (We Salute You),1,108,579,0.99,"2008-04-12 00:00:00"
1,AC/DC,For Those About To Rock We Salute You,Put The Finger On You,6,2,3,0.99,"2007-01-02 00:00:00"
1,AC/DC,For Those About To Rock We Salute You,Let's Get It Up,7,,,,
1,AC/DC,For Those About To Rock We Salute You,Inject The Venom,8,2,4,0.99,"2007-01-02 00:00:00"
1,AC/DC,For Those About To Rock We Salute You,Inject The Venom,8,214,1155,0.99,"2009-07-24 00:00:00"
1,AC/DC,For Those About To Rock We Salute You,Snowballed,9,108,581,0.99,"2008-04-12 00:00:00"
1,AC/DC,For Those About To Rock We Salute You,Snowballed,9,319,1729,0.99,"2010-11-01 00:00:00"
1,AC/DC,For Those About To Rock We Salute You,Evil Walks,10,2,5,0.99,"2007-01-02 00:00:00"
1,AC/DC,For Those About To Rock We Salute You,C.O.D.,11,,,,
1,AC/DC,For Those About To Rock We Salute You,Breaking The Rules,12,2,6,0.99,"2007-01-02 00:00:00"
1,AC/DC,For Those About To Rock We Salute You,Night Of The Long Knives,13,108,582,0.99,"2008-04-12 00:00:00"
1,AC/DC,For Those About To Rock We Salute You,Spellbound,14,214,1156,0.99,"2009-07-24 00:00:00"
2,Accept,Balls to the Wall,Balls to the Wall,2,1,1,0.99,"2007-01-01 00:00:00"
2,Accept,Balls to the Wall,Balls to the Wall,2,214,1154,0.99,"2009-07-24 00:00:00"
2,Accept,Restless and Wild,Fast As a Shark,3,319,1728,0.99,"2010-11-01 00:00:00"
2,Accept,Restless and Wild,Restless and Wild,4,1,2,0.99,"2007-01-01 00:00:00"
2,Accept,Restless and Wild,Princess of the Dawn,5,108,580,0.99,"2008-04-12 00:00:00"
1,AC/DC,Let There Be Rock,Go Down,15,319,1730,0.99,"2010-11-01 00:00:00"
1,AC/DC,Let There Be Rock,Dog Eat Dog,16,3,7,0.99,"2007-01-03 00:00:00"
1,AC/DC,Let There Be Rock,Let There Be Rock,17,,,,
1,AC/DC,Let There Be Rock,Bad Boy Boogie,18,,,,
1,AC/DC,Let There Be Rock,Problem Child,19,109,583,0.99,"2008-04-15 00:00:00"
1,AC/DC,Let There Be Rock,Overdose,20,3,8,0.99,"2007-01-03 00:00:00"
1,AC/DC,Let There Be Rock,Overdose,20,214,1157,0.99,"2009-07-24 00:00:00"
1,AC/DC,Let There Be Rock,Hell Ain't A Bad Place To Be,21,319,1731,0.99,"2010-11-01 00:00:00"
1,AC/DC,Let There Be Rock,Whole Lotta Rosie,22,,,,
3,Aerosmith,Big Ones,Walk On Water,23,,,,
3,Aerosmith,Big Ones,Love In An Elevator,24,3,9,0.99,"2007-01-03 00:00:00"
3,Aerosmith,Big Ones,Rag Doll,25,109,584,0.99,"2008-04-15 00:00:00"
3,Aerosmith,Big Ones,What It Takes,26,214,1158,0.99,"2009-07-24 00:00:00"
3,Aerosmith,Big Ones,Dude (Looks Like A Lady),27,,,,
3,Aerosmith,Big Ones,Janie's Got A Gun,28,3,10,0.99,"2007-01-03 00:00:00"
3,Aerosmith,Big Ones,Cryin',29,,,,
3,Aerosmith,Big Ones,Amazing,30,320,1732,0.99,"2010-11-06 00:00:00"
3,Aerosmith,Big Ones,Blind Man,31,109,585,0.99,"2008-04-15 00:00:00"
3,Aerosmith,Big Ones,Deuces Are Wild,32,3,11,0.99,"2007-01-03 00:00:00"
3,Aerosmith,Big Ones,Deuces Are Wild,32,214,1159,0.99,"2009-07-24 00:00:00"
3,Aerosmith,Big Ones,The Other Side,33,,,,
3,Aerosmith,Big Ones,Crazy,34,,,,
3,Aerosmith,Big Ones,Eat The Rich,35,,,,
3,Aerosmith,Big Ones,Angel,36,3,12,0.99,"2007-01-03 00:00:00"
3,Aerosmith,Big Ones,Livin' On The Edge,37,109,586,0.99,"2008-04-15 00:00:00"
4,Alanis Morissette,Jagged Little Pill,All I Really Want,38,214,1160,0.99,"2009-07-24 00:00:00"
4,Alanis Morissette,Jagged Little Pill,You Oughta Know,39,320,1733,0.99,"2010-11-06 00:00:00"
4,Alanis Morissette,Jagged Little Pill,Perfect,40,,,,
4,Alanis Morissette,Jagged Little Pill,Hand In My Pocket,41,,,,
4,Alanis Morissette,Jagged Little Pill,Right Through You,42,4,13,0.99,"2007-01-06 00:00:00"
4,Alanis Morissette,Jagged Little Pill,Forgiven,43,109,587,0.99,"2008-04-15 00:00:00"
4,Alanis Morissette,Jagged Little Pill,You Learn,44,214,1161,0.99,"2009-07-24 00:00:00"
4,Alanis Morissette,Jagged Little Pill,Head Over Feet,45,,,,
4,Alanis Morissette,Jagged Little Pill,Mary Jane,46,,,,
4,Alanis Morissette,Jagged Little Pill,Ironic,47,,,,
4,Alanis Morissette,Jagged Little Pill,Not The Doctor,48,4,14,0.99,"2007-01-06 00:00:00"
4,Alanis Morissette,Jagged Little Pill,Not The Doctor,48,320,1734,0.99,"2010-11-06 00:00:00"
4,Alanis Morissette,Jagged Little Pill,Wake Up,49,109,588,0.99,"2008-04-15 00:00:00"
4,Alanis Morissette,Jagged Little Pill,You Oughta Know (Alternate),50,,,,
5,Alice In Chains,Facelift,We Die Young,51,,,,
5,Alice In Chains,Facelift,Man In The Box,52,,,,
5,Alice In Chains,Facelift,Sea Of Sorrow,53,215,1162,0.99,"2009-07-29 00:00:00"
5,Alice In Chains,Facelift,Bleed The Freak,54,4,15,0.99,"2007-01-06 00:00:00"
5,Alice In Chains,Facelift,I Can't Remember,55,109,589,0.99,"2008-04-15 00:00:00"
5,Alice In Chains,Facelift,"Love, Hate, Love",56,,,,
5,Alice In Chains,Facelift,It Ain't Like That,57,320,1735,0.99,"2010-11-06 00:00:00"
5,Alice In Chains,Facelift,Sunshine,58,,,,
5,Alice In Chains,Facelift,Put You Down,59,,,,
5,Alice In Chains,Facelift,Confusion,60,4,16,0.99,"2007-01-06 00:00:00"
5,Alice In Chains,Facelift,I Know Somethin (Bout You),61,109,590,0.99,"2008-04-15 00:00:00"
5,Alice In Chains,Facelift,Real Thing,62,215,1163,0.99,"2009-07-29 00:00:00"
